date,TICKER,PRC,RET,rp-rf,rm-rf,SMB,HML,UMD,rf,,,CAPM only,,,,,
20081031,VYM,35.73,-14.85%,-14.93%,-17.23%,-2.25%,-2.75%,7.83%,0.08%,,t-stats,-0.516323565,6.445150757,-6.1553499,34.75751401,1.076463799,<-- =Q18/Q19
20081128,VYM,33.75,-5.54%,-5.57%,-7.86%,-3.01%,-5.85%,7.22%,0.03%,,,,,,,,
20081231,VYM,33.60,0.53%,0.53%,1.74%,3.62%,-0.21%,-5.05%,0.00%,,,,,,,,
20090130,VYM,29.24,-12.98%,-12.98%,-8.12%,0.10%,-11.25%,-1.92%,0.00%,,,,,,,,
20090227,VYM,25.25,-13.65%,-13.66%,-10.10%,0.15%,-7.27%,4.17%,0.01%,,,,,,,,
20090331,VYM,27.38,9.66%,9.64%,8.95%,-0.10%,3.62%,-11.53%,0.02%,,,,,,,,
20090430,VYM,30.19,10.26%,10.25%,10.19%,4.74%,5.44%,-34.58%,0.01%,,,,,,,,
20090529,VYM,31.94,5.80%,5.80%,5.21%,-2.35%,-0.14%,-12.33%,0.00%,,,,,,,,
20090630,VYM,31.56,-0.31%,-0.32%,0.43%,2.60%,-2.66%,5.31%,0.01%,,,,,,,,
20090731,VYM,34.26,8.56%,8.55%,7.72%,2.05%,5.22%,-5.41%,0.01%,,,,,,,,
20090831,VYM,35.94,4.90%,4.89%,3.33%,-0.81%,7.85%,-8.90%,0.01%,,,,,,,,
20090930,VYM,36.72,2.89%,2.88%,4.08%,2.49%,0.97%,-5.00%,0.01%,,,,,,,,
20091030,VYM,35.73,-2.70%,-2.70%,-2.59%,-4.29%,-4.26%,2.64%,0.00%,,,,,,,,
20091130,VYM,37.90,6.07%,6.07%,5.56%,-2.48%,-0.12%,0.32%,0.00%,,,,,,,,
20091231,VYM,38.00,1.11%,1.10%,2.75%,6.11%,0.00%,2.94%,0.01%,,,,,,,,
20100129,VYM,36.83,-3.08%,-3.08%,-3.36%,0.37%,0.30%,-5.36%,0.00%,,,,,,,,
20100226,VYM,37.73,2.44%,2.44%,3.40%,1.19%,3.18%,3.61%,0.00%,,,,,,,,
20100331,VYM,39.58,5.51%,5.50%,6.31%,1.49%,2.15%,3.68%,0.01%,,,,,,,,
20100430,VYM,40.25,1.69%,1.68%,2.00%,4.99%,2.83%,3.21%,0.01%,,,,,,,,
20100528,VYM,37.08,-7.88%,-7.89%,-7.89%,0.00%,-2.41%,-0.19%,0.01%,,,,,,,,
20100630,VYM,35.22,-4.28%,-4.29%,-5.56%,-2.01%,-4.52%,-2.98%,0.01%,,,,,,,,
20100730,VYM,37.79,7.30%,7.29%,6.93%,0.21%,-0.21%,1.94%,0.01%,,,,,,,,
20100831,VYM,36.53,-3.33%,-3.34%,-4.77%,-2.99%,-1.96%,-0.15%,0.01%,,,,,,,,
20100930,VYM,38.96,7.41%,7.40%,9.54%,3.92%,-3.12%,1.36%,0.01%,,,,,,,,
20101029,VYM,40.24,3.29%,3.28%,3.88%,1.14%,-2.52%,1.25%,0.01%,,,,,,,,
20101130,VYM,40.02,-0.55%,-0.56%,0.60%,3.68%,-0.91%,2.51%,0.01%,,,,,,,,
20101231,VYM,42.22,6.28%,6.27%,6.82%,0.68%,3.78%,-3.19%,0.01%,,,,,,,,
20110131,VYM,42.83,1.44%,1.43%,1.99%,-2.48%,0.82%,-0.33%,0.01%,,,,,,,,
20110228,VYM,44.33,3.51%,3.50%,3.49%,1.53%,1.10%,2.07%,0.01%,,,,,,,,
20110331,VYM,44.33,0.70%,0.69%,0.45%,2.58%,-1.57%,3.55%,0.01%,,,,,,,,
20110429,VYM,46.11,4.02%,4.02%,2.90%,-0.31%,-2.53%,0.07%,0.00%,,,,,,,,
20110531,VYM,45.84,-0.59%,-0.59%,-1.27%,-0.72%,-2.09%,-0.59%,0.00%,,,,,,,,
20110630,VYM,44.99,-1.12%,-1.12%,-1.75%,-0.20%,-0.33%,1.75%,0.00%,,,,,,,,
20110729,VYM,43.76,-2.73%,-2.73%,-2.36%,-1.34%,-1.16%,0.03%,0.00%,,,,,,,,
20110831,VYM,42.52,-2.83%,-2.84%,-5.99%,-3.03%,-2.40%,-0.30%,0.01%,,,,,,,,
20110930,VYM,40.42,-4.22%,-4.22%,-7.59%,-3.54%,-1.37%,-2.58%,0.00%,,,,,,,,
20111031,VYM,43.68,8.07%,8.07%,11.35%,3.44%,-0.22%,-1.45%,0.00%,,,,,,,,
20111130,VYM,44.23,1.26%,1.26%,-0.28%,-0.18%,-0.42%,3.98%,0.00%,,,,,,,,
20111230,VYM,45.26,3.18%,3.18%,0.74%,-0.67%,1.71%,1.87%,0.00%,,,,,,,,
20120131,VYM,46.06,1.77%,1.77%,5.05%,2.15%,-1.11%,-7.95%,0.00%,,,,,,,,
20120229,VYM,47.51,3.15%,3.15%,4.42%,-1.72%,0.11%,-0.28%,0.00%,,,,,,,,
20120330,VYM,48.47,2.70%,2.70%,3.11%,-0.63%,0.89%,1.49%,0.00%,,,,,,,,
20120430,VYM,48.46,-0.01%,-0.01%,-0.85%,-0.54%,-0.46%,3.84%,0.00%,,,,,,,,
20120531,VYM,46.20,-4.66%,-4.67%,-6.19%,0.00%,-0.52%,6.64%,0.01%,,,,,,,,
20120629,VYM,48.12,4.96%,4.96%,3.89%,0.79%,0.41%,-1.13%,0.00%,,,,,,,,
20120731,VYM,49.15,2.14%,2.14%,0.79%,-2.60%,-0.25%,3.06%,0.00%,,,,,,,,
20120831,VYM,49.53,0.77%,0.76%,2.55%,0.39%,1.34%,-2.44%,0.01%,,,,,,,,
20120928,VYM,50.40,2.57%,2.56%,2.73%,0.48%,1.57%,-1.03%,0.01%,,,,,,,,
20121031,VYM,49.90,-0.99%,-1.00%,-1.76%,-1.09%,3.64%,0.12%,0.01%,,,,,,,,
20121130,VYM,49.73,-0.34%,-0.35%,0.78%,0.54%,-0.81%,0.35%,0.01%,,,,,,,,
20121231,VYM,49.38,0.29%,0.28%,1.18%,1.49%,3.52%,-2.92%,0.01%,,,,,,,,
20130131,VYM,52.17,5.65%,5.65%,5.57%,0.44%,0.95%,-1.91%,0.00%,,,,,,,,
20130228,VYM,53.25,2.07%,2.07%,1.29%,-0.43%,0.11%,1.37%,0.00%,,,,,,,,
20130328,VYM,54.81,3.61%,3.61%,4.03%,0.84%,-0.26%,1.95%,0.00%,,,,,,,,
20130430,VYM,56.46,3.01%,3.01%,1.55%,-2.43%,0.57%,0.28%,0.00%,,,,,,,,
20130531,VYM,56.87,0.73%,0.73%,2.80%,1.69%,2.49%,-1.92%,0.00%,,,,,,,,
20130628,VYM,56.37,-0.14%,-0.14%,-1.20%,1.17%,-0.13%,0.63%,0.00%,,,,,,,,
20130731,VYM,58.89,4.47%,4.47%,5.65%,1.88%,0.61%,1.76%,0.00%,,,,,,,,
20130830,VYM,56.59,-3.91%,-3.91%,-2.71%,0.25%,-2.77%,0.05%,0.00%,,,,,,,,
20130930,VYM,57.49,2.36%,2.36%,3.77%,2.94%,-1.20%,2.98%,0.00%,,,,,,,,
20131031,VYM,60.22,4.75%,4.75%,4.18%,-1.52%,1.10%,0.14%,0.00%,,,,,,,,
20131129,VYM,61.61,2.31%,2.31%,3.12%,1.25%,0.26%,0.45%,0.00%,,,,,,,,
20131231,VYM,62.32,2.02%,2.02%,2.81%,-0.48%,-0.31%,0.06%,0.00%,,,,,,,,
20140131,VYM,59.83,-4.00%,-4.00%,-3.32%,0.87%,-2.13%,1.65%,0.00%,,,,,,,,
20140228,VYM,61.99,3.61%,3.61%,4.65%,0.34%,-0.37%,2.09%,0.00%,,,,,,,,
20140331,VYM,63.12,2.47%,2.47%,0.43%,-1.85%,5.03%,-3.25%,0.00%,,,,,,,,
20140430,VYM,64.45,2.11%,2.11%,-0.19%,-4.19%,1.10%,-3.90%,0.00%,,,,,,,,
20140530,VYM,65.47,1.58%,1.58%,2.06%,-1.85%,-0.36%,1.02%,0.00%,,,,,,,,
20140630,VYM,66.32,2.02%,2.02%,2.61%,3.01%,-0.66%,0.70%,0.00%,,,,,,,,
20140731,VYM,65.21,-1.67%,-1.67%,-2.04%,-4.22%,-0.02%,-0.26%,0.00%,,,,,,,,
20140829,VYM,67.66,3.76%,3.76%,4.24%,0.40%,-0.55%,0.76%,0.00%,,,,,,,,
20140930,VYM,66.41,-1.15%,-1.15%,-1.97%,-3.80%,-1.19%,0.49%,0.00%,,,,,,,,
20141031,VYM,68.05,2.47%,2.47%,2.52%,4.28%,-1.68%,0.03%,0.00%,,,,,,,,
20141128,VYM,70.11,3.03%,3.03%,2.55%,-2.05%,-2.98%,1.02%,0.00%,,,,,,,,
20141231,VYM,68.75,-1.14%,-1.14%,-0.06%,2.59%,2.12%,1.04%,0.00%,,,,,,,,
20150130,VYM,66.77,-2.88%,-2.88%,-3.11%,-0.51%,-3.47%,3.76%,0.00%,,,,,,,,
20150227,VYM,70.04,4.90%,4.90%,6.13%,0.51%,-1.73%,-2.88%,0.00%,,,,,,,,
20150331,VYM,68.30,-1.82%,-1.82%,-1.12%,3.07%,-0.45%,3.02%,0.00%,,,,,,,,
20150430,VYM,69.46,1.70%,1.70%,0.59%,-3.01%,1.84%,-7.41%,0.00%,,,,,,,,
20150529,VYM,69.72,0.37%,0.37%,1.36%,0.90%,-1.32%,5.93%,0.00%,,,,,,,,
20150630,VYM,67.32,-2.64%,-2.64%,-1.53%,2.85%,-0.80%,3.05%,0.00%,,,,,,,,
20150731,VYM,68.03,1.05%,1.05%,1.54%,-4.07%,-4.21%,10.24%,0.00%,,,,,,,,
20150831,VYM,64.18,-5.66%,-5.66%,-6.04%,0.52%,2.71%,-2.17%,0.00%,,,,,,,,
20150930,VYM,62.65,-1.56%,-1.56%,-3.08%,-2.61%,0.58%,5.25%,0.00%,,,,,,,,
20151030,VYM,67.92,8.41%,8.41%,7.75%,-1.93%,-0.11%,-3.91%,0.00%,,,,,,,,
20151130,VYM,68.07,0.22%,0.22%,0.56%,3.62%,-0.57%,2.31%,0.00%,,,,,,,,
20151231,VYM,66.75,-1.06%,-1.07%,-2.17%,-2.81%,-2.46%,3.39%,0.01%,,,,,,,,
20160129,VYM,64.87,-2.82%,-2.83%,-5.77%,-3.36%,2.26%,1.39%,0.01%,,,,,,,,
20160229,VYM,65.20,0.51%,0.49%,-0.07%,0.83%,-0.48%,-4.12%,0.02%,,,,,,,,
20160331,VYM,69.04,6.62%,6.60%,6.96%,0.86%,1.11%,-5.06%,0.02%,,,,,,,,
20160429,VYM,69.54,0.72%,0.71%,0.92%,0.68%,3.25%,-6.15%,0.01%,,,,,,,,
20160531,VYM,70.51,1.39%,1.38%,1.78%,-0.27%,-1.79%,1.89%,0.01%,,,,,,,,
20160630,VYM,71.46,2.17%,2.15%,-0.05%,0.61%,-1.49%,4.28%,0.02%,,,,,,,,
20160729,VYM,73.14,2.35%,2.33%,3.95%,2.90%,-0.98%,-3.17%,0.02%,,,,,,,,
20160831,VYM,72.92,-0.30%,-0.32%,0.50%,0.94%,3.18%,-3.16%,0.02%,,,,,,,,
20160930,VYM,72.14,-0.41%,-0.43%,0.25%,2.00%,-1.34%,-0.52%,0.02%,,,,,,,,
20161031,VYM,71.22,-1.28%,-1.30%,-2.02%,-4.41%,4.15%,0.58%,0.02%,,,,,,,,
20161130,VYM,74.23,4.23%,4.22%,4.86%,5.68%,8.44%,-4.16%,0.01%,,,,,,,,
20161230,VYM,75.77,2.97%,2.94%,1.82%,-0.04%,3.52%,-0.30%,0.03%,,,,,,,,
